"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"05 Dec 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","127581.00","129032.00","127581.00","128425.00","127300.00","14","14.000 GRMS ","1796.45","22"
"04 Dec 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","127950.00","128217.00","126872.00","127300.00","127832.00","16","16.000 GRMS ","2040.69","26"
"03 Dec 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","128120.00","128120.00","127555.00","127832.00","127334.00","48","48.000 GRMS ","6136.39","80"
"02 Dec 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","127593.00","127836.00","126481.00","127334.00","127315.00","158","158.000 GRMS ","20110.53","39"
"01 Dec 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","127895.00","128415.00","127100.00","127315.00","126883.00","1694","1694.000 GRMS ","216532.56","1912"
"28 Nov 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","125729.00","126972.00","125510.00","126883.00","125504.00","6761","6761.000 GRMS ","852744.39","2363"
"27 Nov 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","125500.00","125910.00","125286.00","125504.00","125931.00","5063","5063.000 GRMS ","635866.55","4828"
"26 Nov 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","125750.00","126175.00","125205.00","125931.00","125225.00","9482","9482.000 GRMS ","1192837.01","6747"
"25 Nov 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","124789.00","125521.00","124460.00","125225.00","123854.00","10239","10239.000 GRMS ","1280361.56","8024"
"24 Nov 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","122743.00","124055.00","122605.00","123854.00","124191.00","8191","8191.000 GRMS ","1009772.70","9031"
"21 Nov 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","122373.00","124538.00","121546.00","124191.00","122727.00","13688","13688.000 GRMS ","1684939.76","9266"
"20 Nov 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","122953.00","123760.00","122000.00","122727.00","123051.00","10854","10854.000 GRMS ","1333456.78","10392"
"19 Nov 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","122799.00","124455.00","122270.00","123051.00","122640.00","12423","12423.000 GRMS ","1533632.89","10237"
"18 Nov 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","122121.00","123037.00","120762.00","122640.00","122927.00","11791","11791.000 GRMS ","1436321.37","10829"
"17 Nov 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","123114.00","123650.00","122172.00","122927.00","123561.00","10773","10773.000 GRMS ","1324606.90","11127"
"14 Nov 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","126748.00","127048.00","121800.00","123561.00","126751.00","18445","18445.000 GRMS ","2292505.64","11814"
"13 Nov 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","126344.00","127941.00","126182.00","126751.00","126465.00","13337","13337.000 GRMS ","1694953.83","11821"
"12 Nov 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","124300.00","126699.00","123648.00","126465.00","123913.00","13127","13127.000 GRMS ","1643107.07","11986"
"11 Nov 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","124595.00","125839.00","123417.00","123913.00","123970.00","10389","10389.000 GRMS ","1293932.08","12906"
